date,hold
2021-04-06,1000000.0
2021-04-07,1013390.386266654
2021-04-08,1032881.5583539827
2021-04-09,1053799.1357799252
2021-04-12,1039854.4121850146
2021-04-13,1065129.684982268
2021-04-14,1046113.6943215574
2021-04-15,1065684.0838147216
2021-04-16,1062990.199982742
2021-04-19,1068378.0906550952
2021-04-20,1054670.6502525085
2021-04-21,1057760.8671304535
2021-04-22,1045400.4916522505
2021-04-23,1064258.0475012907
2021-04-26,1067427.3587766765
2021-04-27,1064812.5693421382
2021-04-28,1058394.6063771367
2021-04-29,1057602.3093103885
2021-04-30,1041597.5641385756
2021-05-03,1050154.2740527384
2021-05-04,1012994.1762290831
2021-05-05,1014975.1034085441
2021-05-06,1027969.156629233
2021-05-07,1033445.5518411804
2021-05-10,1006777.9470304942
2021-05-11,999317.5494292318
2021-05-12,974396.1102777635
2021-05-13,991857.0288195752
2021-05-14,1011540.0940017847
2021-05-17,1002174.7884086485
2021-05-18,990904.5748236383
2021-05-19,989634.697666586
2021-05-20,1010428.8976731916
2021-05-21,995507.8564538783
2021-05-24,1008762.3184449918
2021-05-25,1007174.9566226273
2021-05-26,1006777.9470304942
2021-05-27,994317.3197110557
2021-05-28,988999.7898401585
2021-06-01,986380.6951118248
2021-06-02,992571.3385644292
2021-06-03,980507.4748203355
2021-06-04,999158.8686007727
2021-06-07,999238.1475108052
2021-06-08,1005905.0179613782
2021-06-09,1009000.4011918777
2021-06-10,1000904.8497473991
2021-06-11,1010746.3823385038
2021-06-14,1035588.4810757427
2021-06-15,1028921.6106251699
2021-06-16,1032969.1403306207
2021-06-17,1045985.6425832427
2021-06-18,1035429.8002472837
2021-06-21,1050033.8488348615
2021-06-22,1063367.0977024308
2021-06-23,1061144.951062033
2021-06-24,1058843.2179906173
2021-06-25,1056462.144504972
2021-06-28,1069716.6680002827
2021-06-29,1082018.6144912622
2021-06-30,1087018.782705241
2021-07-01,1089479.3196135103
2021-07-02,1110829.1485365108
2021-07-06,1127178.8092455324
2021-07-07,1147417.3803357428
2021-07-08,1136861.661008178
2021-07-09,1151703.3618132616
2021-07-12,1146861.8744277419
2021-07-13,1155909.879868157
2021-07-14,1183767.7139006804
2021-07-15,1178450.1840297831
2021-07-16,1161862.379069679
2021-07-19,1130591.677141344
2021-07-20,1159957.5940861993
2021-07-21,1154004.7258594949
2021-07-22,1165116.4431286373
2021-07-23,1179085.1533604078
2021-07-26,1182498.0212562196
2021-07-27,1164878.4218859486
2021-07-28,1150671.6904114895
2021-07-29,1155909.879868157
2021-07-30,1157655.8610147836
2021-08-02,1154957.5488806143
2021-08-03,1169560.859417827
2021-08-04,1166307.041375657
2021-08-05,1167180.2779657585
2021-08-06,1161615.9932561878
2021-08-09,1161218.4301262812
2021-08-10,1157323.9843673552
2021-08-11,1159390.2793723596
2021-08-12,1183474.5848974106
2021-08-13,1185144.054822873
2021-08-16,1201200.3405118368
2021-08-17,1193808.1510651328
2021-08-18,1163364.6805874854
2021-08-19,1166067.1750070562
2021-08-20,1177910.6692130223
2021-08-23,1189992.676695254
2021-08-24,1189277.2598748524
2021-08-25,1179262.039431202
2021-08-26,1172744.0706417526
