,date,hold
0,2021-04-06,1000000.0
1,2021-04-07,1013390.386266654
2,2021-04-08,1032881.5583539827
3,2021-04-09,1053799.1357799252
4,2021-04-12,1039854.4121850146
5,2021-04-13,1065129.684982268
6,2021-04-14,1046113.6943215574
7,2021-04-15,1065684.0838147216
8,2021-04-16,1062990.199982742
9,2021-04-19,1068378.0906550952
10,2021-04-20,1054670.6502525085
11,2021-04-21,1057760.8671304535
12,2021-04-22,1045400.4916522505
13,2021-04-23,1064258.0475012907
14,2021-04-26,1067427.3587766765
15,2021-04-27,1064812.5693421382
16,2021-04-28,1058394.6063771367
17,2021-04-29,1057602.3093103885
18,2021-04-30,1041597.5641385756
19,2021-05-03,1050154.2740527384
20,2021-05-04,1012994.1762290831
21,2021-05-05,1014975.1034085441
22,2021-05-06,1027969.156629233
23,2021-05-07,1033445.5518411804
24,2021-05-10,1006777.9470304942
25,2021-05-11,999317.5494292318
26,2021-05-12,974396.1102777635
27,2021-05-13,991857.0288195752
28,2021-05-14,1011540.0940017847
29,2021-05-17,1002174.7884086485
30,2021-05-18,990904.5748236383
31,2021-05-19,989634.697666586
32,2021-05-20,1010428.8976731916
33,2021-05-21,995507.8564538783
34,2021-05-24,1008762.3184449918
35,2021-05-25,1007174.9566226273
36,2021-05-26,1006777.9470304942
37,2021-05-27,994317.3197110557
38,2021-05-28,988999.7898401585
39,2021-06-01,986380.6951118248
40,2021-06-02,992571.3385644292
41,2021-06-03,980507.4748203355
42,2021-06-04,999158.8686007727
43,2021-06-07,999238.1475108052
44,2021-06-08,1005905.0179613782
45,2021-06-09,1009000.4011918777
46,2021-06-10,1000904.8497473991
47,2021-06-11,1010746.3823385038
48,2021-06-14,1035588.4810757427
49,2021-06-15,1028921.6106251699
50,2021-06-16,1032969.1403306207
51,2021-06-17,1045985.6425832427
52,2021-06-18,1035429.8002472837
53,2021-06-21,1050033.8488348615
54,2021-06-22,1063367.0977024308
55,2021-06-23,1061144.951062033
56,2021-06-24,1058843.2179906173
57,2021-06-25,1056462.144504972
58,2021-06-28,1069716.6680002827
59,2021-06-29,1082018.6144912622
60,2021-06-30,1087018.782705241
61,2021-07-01,1089479.3196135103
62,2021-07-02,1110829.1485365108
63,2021-07-06,1127178.8092455324
64,2021-07-07,1147417.3803357428
65,2021-07-08,1136861.661008178
66,2021-07-09,1151703.3618132616
67,2021-07-12,1146861.8744277419
68,2021-07-13,1155909.879868157
69,2021-07-14,1183767.7139006804
70,2021-07-15,1178450.1840297831
71,2021-07-16,1161862.379069679
72,2021-07-19,1130591.677141344
73,2021-07-20,1159957.5940861993
74,2021-07-21,1154004.7258594949
75,2021-07-22,1165116.4431286373
76,2021-07-23,1179085.1533604078
77,2021-07-26,1182498.0212562196
78,2021-07-27,1164878.4218859486
79,2021-07-28,1150671.6904114895
80,2021-07-29,1155909.879868157
81,2021-07-30,1157655.8610147836
82,2021-08-02,1154957.5488806143
83,2021-08-03,1169560.859417827
84,2021-08-04,1166307.041375657
85,2021-08-05,1167180.2779657585
86,2021-08-06,1161615.9932561878
87,2021-08-09,1161218.4301262812
88,2021-08-10,1157323.9843673552
89,2021-08-11,1159390.2793723596
90,2021-08-12,1183474.5848974106
91,2021-08-13,1185144.054822873
92,2021-08-16,1201200.3405118368
93,2021-08-17,1193808.1510651328
94,2021-08-18,1163364.6805874854
95,2021-08-19,1166067.1750070562
96,2021-08-20,1177910.6692130223
97,2021-08-23,1189992.676695254
98,2021-08-24,1189277.2598748524
99,2021-08-25,1179262.039431202
100,2021-08-26,1172744.0706417526
101,2021-08-27,1181169.7766161412
102,2021-08-30,1217097.3303303705
103,2021-08-31,1206843.7196188485
104,2021-09-01,1212248.7084579896
105,2021-09-02,1221310.244821762
106,2021-09-03,1226476.9664014257
107,2021-09-07,1245474.382794619
108,2021-09-08,1232915.348759857
109,2021-09-09,1224648.9386558982
110,2021-09-10,1184110.6613035828
111,2021-09-13,1188721.0159164867
112,2021-09-14,1177354.4252546567
113,2021-09-15,1184587.5648477192
114,2021-09-16,1182679.9506711739
115,2021-09-17,1160980.0398584101
116,2021-09-20,1136180.5635297454
117,2021-09-21,1140074.8862802773
118,2021-09-22,1159310.93895813
119,2021-09-23,1167100.3225095582
120,2021-09-24,1167815.7393299597
121,2021-09-27,1155495.4645882512
122,2021-09-28,1127993.3708316223
123,2021-09-29,1135306.0968557026
124,2021-09-30,1124734.2634285036
125,2021-10-01,1133875.1402065053
126,2021-10-04,1105975.4833199696
127,2021-10-05,1121634.2058790263
128,2021-10-06,1128708.4186268412
129,2021-10-07,1138962.5213719397
130,2021-10-08,1135862.4638224626
131,2021-10-11,1135146.8009852725
132,2021-10-12,1124813.726851127
133,2021-10-13,1120044.56840137
134,2021-10-14,1142698.0402856183
135,2021-10-15,1151282.7961136482
136,2021-10-18,1164874.9776509125
137,2021-10-19,1182441.5604033028
138,2021-10-20,1186415.8386100347
139,2021-10-21,1188164.5259413326
140,2021-10-22,1181884.9474197545
141,2021-10-25,1181487.8763234243
142,2021-10-26,1186892.6191457768
143,2021-10-27,1183156.9772237043
144,2021-10-28,1212725.8580189142
145,2021-10-29,1190708.2165240496
146,2021-11-01,1184031.197880959
147,2021-11-02,1192456.7808469534
148,2021-11-03,1204141.4712160665
149,2021-11-04,1199928.5567246752
150,2021-11-05,1204227.2080667922
151,2021-11-08,1197540.471760563
152,2021-11-09,1200485.7847501943
153,2021-11-10,1177480.631867059
154,2021-11-11,1177082.4536951813
155,2021-11-12,1193958.2213060008
156,2021-11-15,1194037.807737019
157,2021-11-16,1201998.2959647158
158,2021-11-17,1221819.2535567721
159,2021-11-18,1256684.9988126613
160,2021-11-19,1278018.4676192396
161,2021-11-22,1281760.0139442317
162,2021-11-23,1284864.25377911
163,2021-11-24,1289083.5647069975
164,2021-11-26,1248246.9919988574
165,2021-11-29,1275551.165249292
166,2021-11-30,1315829.648873154
167,2021-12-01,1311610.9529872374
168,2021-12-02,1303571.0013369168
169,2021-12-03,1288287.4543800307
170,2021-12-06,1315989.0677519778
171,2021-12-07,1362635.9419579972
172,2021-12-08,1393681.169499847
173,2021-12-09,1389541.691019766
174,2021-12-10,1428467.3283247184
175,2021-12-13,1398934.735005784
176,2021-12-14,1387710.7110727788
177,2021-12-15,1427273.2858426624
178,2021-12-16,1371232.9986254429
179,2021-12-17,1362317.71924232
180,2021-12-20,1351252.8681713506
181,2021-12-21,1377043.9151652928
182,2021-12-22,1398138.8706956056
183,2021-12-23,1403233.386347901
184,2021-12-27,1435472.410355019
185,2021-12-28,1427193.5764032507
186,2021-12-29,1427910.3463159876
187,2021-12-30,1418517.1793215754
188,2021-12-31,1413502.127091904
189,2022-01-03,1448845.5139422943
190,2022-01-04,1430457.3581253472
191,2022-01-05,1392407.294569985
192,2022-01-06,1369163.5054021904
193,2022-01-07,1370516.5977378879
194,2022-01-10,1370676.016616712
