date,ensemble,dji,hold
2021-04-06,1000000.0,1000000.0,1000000.0
2021-04-07,1000000.0,1000479.3097005528,1013390.386266654
2021-04-08,1000000.0,1002193.5838635985,1032881.5583539827
2021-04-09,1000000.0,1011078.6910381588,1053799.1357799252
2021-04-12,1000000.0,1009427.3978425923,1039854.4121850146
2021-04-13,1000000.0,1007389.4552566964,1065129.684982268
2021-04-14,1000000.0,1008993.4250907995,1046113.6943215574
2021-04-15,1000000.0,1018119.8229849215,1065684.0838147216
2021-04-16,1000000.0,1023046.0096415799,1062990.199982742
2021-04-19,1000000.0,1019365.4205977676,1068378.0906550952
2021-04-20,1000000.0,1011697.8675625934,1054670.6502525085
2021-04-21,1000000.0,1021150.6213791055,1057760.8671304535
2021-04-22,1000000.0,1011536.2670467804,1045400.4916522505
2021-04-23,1000000.0,1018344.1707726013,1064258.0475012907
2021-04-26,1000000.0,1016492.0161983777,1067427.3587766765
2021-04-27,1000000.0,1016592.5053116091,1064812.5693421382
2021-04-28,1000000.0,1011670.2914803576,1058394.6063771367
2021-04-29,1000000.0,1018848.8364470742,1057602.3093103885
2021-04-30,1000000.0,1013299.7341361869,1041597.5641385756
2021-05-03,1000000.0,1020430.3715024092,1050154.2740527384
2021-05-04,1000000.0,1021022.6730314447,1012994.1762290831
2021-05-05,1000000.0,1023933.4687287811,1014975.1034085441
2021-05-06,1000000.0,1033451.540468894,1027969.156629233
2021-05-07,1000000.0,1040308.5202732696,1033445.5518411804
2021-05-10,1000000.0,1039263.3166478563,1006777.9470304942
2021-05-11,1000000.0,1025094.7022256352,999317.5494292318
2021-05-12,1000000.0,1004708.9665851496,974396.1102777635
2021-05-13,1000000.0,1017684.9154506802,991857.0288195752
2021-05-14,1000000.0,1028473.9407775592,1011540.0940017847
2021-05-17,1000000.0,1026848.4709471369,1002174.7884086485
2021-05-18,1000000.0,1018857.8337281427,990904.5748236383
2021-05-19,1000000.0,1013933.5166363816,989634.697666586
2021-05-20,1000000.0,1019560.4395861204,1010428.8976731916
2021-05-21,1000000.0,1023260.4253657424,995507.8564538783
2021-05-24,1000000.0,1028828.4570212151,1008762.3184449918
2021-05-25,1000000.0,1026389.9601560667,1007174.9566226273
2021-05-26,1000000.0,1026706.7345583581,1006777.9470304942
2021-05-27,1000000.0,1030942.116985453,994317.3197110557
2021-05-28,1000000.0,1032880.7389361778,988999.7898401585
2021-06-01,1000000.0,1034252.5321795937,986380.6951118248
2021-06-02,1000000.0,1035002.4613990352,992571.3385644292
2021-06-03,1000000.0,1034304.2957576885,980507.4748203355
2021-06-04,1000000.0,1039669.2459261889,999158.8686007727
2021-06-07,1000000.0,1035895.6460287345,999238.1475108052
2021-06-08,1000000.0,1034985.7521627652,1005905.0179613782
2021-06-09,1000000.0,1030418.6388142005,1009000.4011918777
2021-06-10,1000000.0,1030989.9077381408,1000904.8497473991
2021-06-11,1000000.0,1031389.6440827512,1010746.3823385038
2021-06-14,1000000.0,1028821.5630006563,1035588.4810757427
2021-06-15,1000000.0,1025997.117832015,1028921.6106251699
2021-06-16,1000000.0,1018050.5322359144,1032969.1403306207
2021-06-17,1000000.0,1011762.133855939,1045985.6425832427
2021-06-18,1000000.0,995807.3838699316,1035429.8002472837
2021-06-21,1000000.0,1013363.0656470838,1050033.8488348615
2021-06-22,1000000.0,1015415.3805131279,1063367.0977024308
2021-06-23,1000000.0,1013281.3890306319,1061144.951062033
2021-06-24,1000000.0,1022930.7977047819,1058843.2179906173
2021-06-25,1000000.0,1030020.7720344873,1056462.144504972
2021-06-28,1000000.0,1025516.7565012076,1069716.6680002827
2021-06-29,1000000.0,1025786.5580854532,1082018.6144912622
2021-06-30,1000000.0,1032074.9564654286,1087018.782705241
2021-07-01,1000000.0,1035994.1487292625,1089479.3196135103
2021-07-02,1000000.0,1040565.4685988463,1110829.1485365108
2021-07-06,1000000.0,1034314.2278212056,1127178.8092455324
2021-07-07,1000237.0736236572,1037437.6865256134,1147417.3803357428
2021-07-08,999960.9536865236,1029664.5030737399,1136861.661008178
2021-07-09,1000499.175202942,1043072.4382783598,1151703.3618132616
2021-07-12,1000244.6665298464,1046842.0653504074,1146861.8744277419
2021-07-13,1000791.6125656128,1043629.6854655702,1155909.879868157
2021-07-14,1002850.7052780152,1044959.0629553777,1183767.7139006804
2021-07-15,1002374.2534439088,1046568.0572451423,1178450.1840297831
2021-07-16,1000713.4925765992,1037619.0343206543,1161862.379069679
2021-07-19,997207.9682998658,1015907.777167962,1130591.677141344
2021-07-20,1000836.6896514894,1032358.4292429864,1159957.5940861993
2021-07-21,1000010.0738891604,1040913.9087565861,1154004.7258594949
2021-07-22,1001649.7688430788,1041672.2510180658,1165116.4431286373
2021-07-23,1003887.8809555057,1048797.5133852083,1179085.1533604078
2021-07-26,1004465.994659424,1051273.0510048852,1182498.0212562196
2021-07-27,1001172.8227386476,1048706.8394876877,1164878.4218859486
2021-07-28,998338.670654297,1044890.2395975947,1150671.6904114895
2021-07-29,999429.0493545532,1049484.9290283953,1155909.879868157
2021-07-30,999804.6154556276,1045026.0167482635,1157655.8610147836
2021-08-02,999154.2352127075,1042115.2210509268,1154957.5488806143
2021-08-03,1002762.95521698,1050438.1734304214,1169560.859417827
2021-08-04,1001900.737538147,1040754.5283490889,1166307.041375657
2021-08-05,1002124.5114593506,1048878.2552192118,1167180.2779657585
2021-08-06,1000522.5711212158,1053193.5615456672,1161615.9932561878
2021-08-09,1000389.8389022828,1050003.032200568,1161218.4301262812
2021-08-10,999167.6249191284,1054873.4824537244,1157323.9843673552
2021-08-11,999819.7329299928,1061463.231325588,1159390.2793723596
2021-08-12,1007871.9389038086,1061908.421466765,1183474.5848974106
2021-08-13,1008436.9885101318,1062372.8914959452,1185144.054822873
2021-08-16,1014198.3034225464,1065663.9099542762,1201200.3405118368
2021-08-17,1011432.5636932373,1057224.9277033412,1193808.1510651328
2021-08-18,999710.8747039796,1045780.5030321421,1163364.6805874854
2021-08-19,1000769.0997940064,1043789.1827208736,1166067.1750070562
2021-08-20,1005602.9200256348,1050548.2440637518,1177910.6692130223
2021-08-23,1010683.9505172728,1056998.4766551522,1189992.676695254
2021-08-24,1010358.5811370848,1057912.3433465282,1189277.2598748524
2021-08-25,1005871.2394302367,1059086.0795586333,1179262.039431202
2021-08-26,1002865.1529434205,1053331.4419568456,1172744.0706417526
2021-08-27,1006822.3522628784,1060590.7287575656,1181169.7766161412
2021-08-30,1024188.8129074096,1058916.7670876188,1217097.3303303705
2021-08-31,1019086.0076919555,1057746.8868531145,1206843.7196188485
2021-09-01,1021819.9690734864,1056305.101773855,1212248.7084579896
2021-09-02,1026526.0222213744,1060232.3565363085,1221310.244821762
2021-09-03,1029266.7407943724,1057996.9411581322,1226476.9664014257
2021-09-07,1039620.2889541624,1049947.6463404845,1245474.382794619
2021-09-08,1032594.25728302,1047885.7499543417,1232915.348759857
2021-09-09,1027862.096307373,1043348.1991007158,1224648.9386558982
2021-09-10,1004212.2934265136,1035222.0184266653,1184110.6613035828
2021-09-13,1006942.648866272,1043056.5469767326,1188721.0159164867
2021-09-14,1000018.8852279664,1034320.1870593157,1177354.4252546567
2021-09-15,1004490.7459884644,1041404.2021509111,1184587.5648477192
2021-09-16,1003269.1439117432,1039517.577473893,1182679.9506711739
2021-09-17,989257.0976654053,1034538.8093044973,1160980.0398584101
2021-09-20,972938.0955627442,1016159.9347334895,1136180.5635297454
2021-09-21,975533.0348220824,1014645.470318846,1140074.8862802773
2021-09-22,988642.4887542723,1024770.4495637546,1159310.93895813
2021-09-23,994039.2651107789,1039921.4034917164,1167100.3225095582
2021-09-24,994530.8087310792,1040913.9087565861,1167815.7393299597
2021-09-27,985651.9760421752,1043048.835021531,1155495.4645882512
2021-09-28,965509.6182083128,1026016.8651112431,1127993.3708316223
2021-09-29,970938.252772522,1028730.8891031359,1135306.0968557026
2021-09-30,962924.8074905396,1012374.5332076206,1124734.2634285036
2021-10-01,969940.82073822,1026808.7426930686,1133875.1402065053
2021-10-04,948483.4812606812,1017130.7063064281,1105975.4833199696
2021-10-05,960707.2543685912,1026456.0960143097,1121634.2058790263
2021-10-06,966309.6494537352,1029516.6905990447,1128708.4186268412
2021-10-07,974563.0737274168,1039625.8953901321,1138962.5213719397
2021-10-08,972010.9020599364,1039365.9090215972,1135862.4638224626
2021-10-11,971402.5264770509,1031881.9238897794,1135146.8009852725
2021-10-12,962770.26742128,1028360.5984056585,1124813.726851127
2021-10-13,958714.8965808258,1028344.707104031,1120044.56840137
2021-10-14,977615.9180178986,1044340.7043655859,1142698.0402856183
2021-10-15,984876.149501358,1055773.5611039826,1151282.7961136482
2021-10-18,996493.870326172,1054692.1346586836,1164874.9776509125
2021-10-19,1011520.6811171876,1060635.8320107134,1182441.5604033028
2021-10-20,1014856.6229979858,1065183.5486234687,1186415.8386100347
2021-10-21,1016320.0390288696,1064996.2415903173,1188164.5259413326
2021-10-22,1010956.3833678588,1067208.0537116649,1181884.9474197545
2021-10-25,1010608.1016051637,1069126.3441441313,1181487.8763234243
2021-10-26,1015197.571308838,1069596.8902592282,1186892.6191457768
2021-10-27,1012046.8534667358,1061634.4133614998,1183156.9772237043
2021-10-28,1037220.1182006224,1068807.2327857183,1212725.8580189142
2021-10-29,1018386.7348086548,1071471.8301556378,1190708.2165240496
2021-11-01,1012687.8981040647,1074292.06880326,1184031.197880959
2021-11-02,1019881.0414135436,1078443.6713533932,1192456.7808469534
2021-11-03,1029871.695875061,1081583.0213594283,1204141.4712160665
2021-11-04,1026269.2190073852,1080585.4916388968,1199928.5567246752
2021-11-05,1029944.9109629516,1086679.3384217436,1204227.2080667922
2021-11-08,1024294.6725367432,1089798.3569095205,1197540.471760563
2021-11-09,1026798.4795802002,1086440.9688973343,1200485.7847501943
2021-11-10,1007395.766111267,1079260.6712135265,1177480.631867059
2021-11-11,1007040.6465723875,1074513.1448523693,1177082.4536951813
2021-11-12,1021248.4947108154,1079869.9156744438,1193958.2213060008
2021-11-15,1021299.6679957276,1079485.2526968182,1194037.807737019
2021-11-16,1027993.641076172,1081123.5757859098,1201998.2959647158
2021-11-17,1044929.1806635744,1074806.900236862,1221819.2535567721
2021-11-18,1074745.709624756,1073009.0798924675,1256684.9988126613
2021-11-19,1092709.5063563231,1064963.407356808,1278018.4676192396
2021-11-22,1095892.5201315307,1065479.9915075016,1281760.0139442317
2021-11-23,1098546.6384176635,1071299.5964894712,1284864.25377911
2021-11-24,1102085.265769043,1071017.7595811987,1289083.5647069975
