account_rewards,date
0.0,2023-04-05
-277.98288574209437,2023-04-06
-260.8130172730889,2023-04-10
-152.09478080738336,2023-04-11
1447.0717747346498,2023-04-12
-102.53359393309802,2023-04-13
0.19718499761074781,2023-04-14
378.664256057702,2023-04-17
422.7434954070486,2023-04-18
-449.8538430177141,2023-04-19
-687.2246774903033,2023-04-20
144.23576049832627,2023-04-21
-839.3329272461124,2023-04-24
-19.190303955227137,2023-04-25
2451.279071502853,2023-04-26
680.9794886321761,2023-04-27
-56.26145477313548,2023-04-28
-550.5350200650282,2023-05-01
-630.9776152651757,2023-05-02
-1044.2867103880271,2023-05-03
5609.561193847563,2023-05-04
-71.72070491011254,2023-05-05
-1506.7690590820275,2023-05-08
1710.0014480592217,2023-05-09
183.6224249266088,2023-05-10
-1037.8271820067894,2023-05-11
-550.2236127012875,2023-05-12
-8.741051834076643,2023-05-15
736.8530256499071,2023-05-16
2972.7278182983864,2023-05-17
125.15440980531275,2023-05-18
-1166.6287231445312,2023-05-19
-3208.1219482421875,2023-05-22
345.2268679807894,2023-05-23
1504.7559685059823,2023-05-24
3330.3949446412735,2023-05-25
2665.627537673805,2023-05-26
-79.19822204578668,2023-05-30
4059.735642913729,2023-05-31
1206.766466903733,2023-06-01
-2084.0183898925316,2023-06-02
-612.7198516845237,2023-06-05
-2351.8446681976784,2023-06-06
4439.834251831053,2023-06-07
652.0781890868675,2023-06-08
5126.427848815918,2023-06-09
-847.7826320189051,2023-06-12
1155.372987365583,2023-06-13
3621.053421630757,2023-06-14
-1967.2745056152344,2023-06-15
152.44484405545518,2023-06-16
-2116.408663940616,2023-06-20
6094.142531326506,2023-06-21
-640.3005563355982,2023-06-22
-2796.0835711364634,2023-06-23
5786.92328796396,2023-06-26
2367.721536559984,2023-06-27
661.7460560302716,2023-06-28
8916.82034178148,2023-06-29
-3248.535028076032,2023-06-30
-2548.348184203962,2023-07-03
1100.2118957517669,2023-07-05
