,date,actions
0,2022-04-04,[100]
1,2022-04-05,[100]
2,2022-04-06,[100]
3,2022-04-07,[-100]
4,2022-04-08,[100]
5,2022-04-11,[38]
6,2022-04-12,[100]
7,2022-04-13,[22]
8,2022-04-14,[100]
9,2022-04-18,[100]
10,2022-04-19,[-64]
11,2022-04-20,[-33]
12,2022-04-21,[41]
13,2022-04-22,[-77]
14,2022-04-25,[-40]
15,2022-04-26,[-100]
16,2022-04-27,[-21]
17,2022-04-28,[92]
18,2022-04-29,[4]
19,2022-05-02,[87]
20,2022-05-03,[23]
21,2022-05-04,[100]
22,2022-05-05,[100]
23,2022-05-06,[34]
24,2022-05-09,[-12]
25,2022-05-10,[100]
26,2022-05-11,[51]
27,2022-05-12,[99]
28,2022-05-13,[-68]
29,2022-05-16,[2]
30,2022-05-17,[100]
31,2022-05-18,[-44]
32,2022-05-19,[57]
33,2022-05-20,[24]
34,2022-05-23,[100]
35,2022-05-24,[100]
36,2022-05-25,[100]
37,2022-05-26,[100]
38,2022-05-27,[-100]
39,2022-05-31,[12]
40,2022-06-01,[33]
41,2022-06-02,[-11]
42,2022-06-03,[-74]
43,2022-06-06,[100]
44,2022-06-07,[3]
45,2022-06-08,[100]
46,2022-06-09,[52]
47,2022-06-10,[100]
48,2022-06-13,[65]
49,2022-06-14,[-20]
50,2022-06-15,[100]
51,2022-06-16,[85]
52,2022-06-17,[-20]
53,2022-06-21,[100]
54,2022-06-22,[54]
55,2022-06-23,[-45]
56,2022-06-24,[76]
57,2022-06-27,[-70]
58,2022-06-28,[100]
59,2022-06-29,[100]
60,2022-06-30,[100]
61,2022-07-01,[100]
